Trajectory,Frame,x,y,xdisplacement,y displacement,,,x,y,xdisplacement,y displacement,,Cx-Sx,Cy-Sy
140,0,214.058,208.146,0,0,,,205.195,210.159,0,0,,0,0
140,1,214.056,211.251,-0.000528,0.81972,,,205.081,213.28,-0.030096,0.823944,,0.029568,-0.004224
140,2,214.132,214.555,0.019536,1.691976,,,204.972,216.4,-0.058872,1.647624,,0.078408,0.044352
140,3,214.233,217.705,0.0462,2.523576,,,205.007,219.576,-0.049632,2.486088,,0.095832,0.037488
140,4,214.275,220.867,0.057288,3.358344,,,205.057,222.743,-0.036432,3.322176,,0.09372,0.036168
140,5,214.383,224.014,0.0858,4.189152,,,204.892,226.052,-0.079992,4.195752,,0.165792,-0.0066
140,6,214.544,227.108,0.128304,5.005968,,,204.698,229.106,-0.131208,5.002008,,0.259512,0.00396
140,7,214.522,230.12,0.122496,5.801136,,,204.644,232.237,-0.145464,5.828592,,0.26796,-0.027456
140,8,214.631,232.66,0.151272,6.471696,,,204.457,235.215,-0.194832,6.614784,,0.346104,-0.143088
140,9,214.936,235.438,0.231792,7.205088,,,204.406,237.654,-0.208296,7.25868,,0.440088,-0.053592
140,10,215.129,238.134,0.282744,7.916832,,,204.317,240.136,-0.231792,7.913928,,0.514536,0.002904
140,11,215.542,240.208,0.391776,8.464368,,,204.635,242.105,-0.14784,8.433744,,0.539616,0.030624
140,12,215.874,241.75,0.479424,8.871456,,,204.758,243.556,-0.115368,8.816808,,0.594792,0.054648
140,13,215.982,242.54,0.507936,9.080016,,,204.999,244.543,-0.051744,9.077376,,0.55968,0.00264
140,14,216.029,243.042,0.520344,9.212544,,,205.037,245.081,-0.041712,9.219408,,0.562056,-0.006864
140,15,215.995,243.18,0.511368,9.248976,,,204.817,245.22,-0.099792,9.256104,,0.61116,-0.007128
140,16,215.819,242.86,0.464904,9.164496,,,204.723,244.659,-0.124608,9.108,,0.589512,0.056496
140,17,215.331,241.603,0.336072,8.832648,,,204.599,243.549,-0.157344,8.81496,,0.493416,0.017688
140,18,214.519,239.857,0.121704,8.371704,,,204.439,242.057,-0.199584,8.421072,,0.321288,-0.049368
140,19,213.35,237.861,-0.186912,7.84476,,,204.503,240.01,-0.182688,7.880664,,-0.004224,-0.035904
140,20,212.318,235.58,-0.45936,7.242576,,,204.61,237.604,-0.15444,7.24548,,-0.30492,-0.002904
140,21,211.569,233.07,-0.657096,6.579936,,,204.439,235.473,-0.199584,6.682896,,-0.457512,-0.10296
140,22,210.935,230.6,-0.824472,5.927856,,,204.293,233.194,-0.238128,6.08124,,-0.586344,-0.153384
140,23,210.527,228.056,-0.932184,5.25624,,,204.015,231.112,-0.31152,5.531592,,-0.620664,-0.275352
