Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,4.915,1.862,0,2.287,1.527,2.918,6.244,14.524,0.009
1,1,3.853,2.441,0,2.285,1.714,3.538,7.938,18.878,0.008
2,0,6.620,5.524,0,2.940,1.750,3.696,8.542,21.015,0.012
2,1,6.639,8.520,0,2.913,1.748,3.693,8.537,21.020,0.030
2,3,7.476,16.518,0,3.020,1.764,3.744,8.678,21.397,0.043
2,5,3.892,14.438,0,2.210,1.723,3.606,8.243,20.032,0.009
2,7,3.860,19.477,0,2.250,1.724,3.608,8.245,20.023,0.008
2,8,4.755,22.371,0,2.494,1.751,3.695,8.508,20.814,0.037
2,10,3.888,22.431,0,2.257,1.736,3.654,8.390,20.459,0.023
2,11,3.750,22.559,0,2.228,1.712,3.570,8.146,19.788,0.014
2,13,7.720,31.478,0,2.967,1.738,3.663,8.457,20.805,0.042
2,14,3.708,23.598,0,2.207,1.701,3.523,7.989,19.302,0.011
2,15,3.928,24.380,0,2.278,1.728,3.620,8.274,20.085,0.007
2,17,3.700,23.578,0,2.260,1.704,3.524,7.969,19.180,0.017
2,18,4.710,24.412,0,2.540,1.724,3.585,8.147,19.692,0.020
2,19,4.729,23.407,0,2.498,1.736,3.634,8.306,20.185,0.015
2,20,4.728,22.394,0,2.505,1.729,3.605,8.212,19.901,0.012
2,21,3.682,19.616,0,2.243,1.710,3.549,8.053,19.454,0.005
2,22,3.695,18.583,0,2.190,1.712,3.550,8.039,19.364,0.005
2,23,4.715,19.400,0,2.486,1.739,3.642,8.324,20.218,0.015
2,25,3.828,16.454,0,2.228,1.726,3.613,8.250,20.006,0.007
2,26,3.786,15.521,0,2.252,1.707,3.543,8.044,19.438,0.010
2,27,3.716,14.580,0,2.215,1.706,3.538,8.026,19.382,0.005
2,28,3.669,13.620,0,2.211,1.709,3.544,8.039,19.416,0.011
2,29,7.654,20.508,0,2.935,1.756,3.723,8.633,21.302,0.044
2,30,7.687,19.480,0,2.888,1.752,3.708,8.585,21.163,0.048
2,31,7.682,18.495,0,2.935,1.751,3.703,8.571,21.123,0.041
2,32,7.652,17.524,0,2.949,1.750,3.700,8.560,21.087,0.026
2,33,7.710,16.470,0,2.904,1.757,3.732,8.670,21.436,0.027
2,34,8.545,17.490,0,3.038,1.762,3.742,8.683,21.433,0.035
2,35,7.720,14.453,0,2.905,1.751,3.711,8.603,21.230,0.027
2,36,8.528,15.475,0,3.026,1.758,3.726,8.630,21.266,0.019
2,37,8.611,14.490,0,2.974,1.765,3.750,8.701,21.471,0.028
2,38,9.753,16.427,0,2.984,1.760,3.742,8.696,21.501,0.026
2,39,9.724,15.456,0,2.994,1.765,3.756,8.739,21.630,0.030
2,40,10.532,16.492,0,3.092,1.764,3.743,8.672,21.363,0.018
2,41,10.523,15.508,0,3.133,1.770,3.768,8.758,21.646,0.013
2,42,9.715,12.408,0,2.969,1.765,3.757,8.737,21.610,0.034
2,43,9.687,11.413,0,3.000,1.761,3.739,8.681,21.438,0.029
2,44,9.683,10.458,0,3.019,1.759,3.739,8.697,21.524,0.034
2,45,9.714,9.446,0,2.996,1.758,3.733,8.668,21.415,0.024
2,47,11.791,12.411,0,3.410,1.773,3.776,8.768,21.629,0.032
2,48,12.485,12.388,0,3.491,1.751,3.666,8.365,20.291,0.022
2,49,11.807,10.379,0,3.466,1.755,3.706,8.548,20.965,0.021
2,50,11.814,9.386,0,3.473,1.761,3.726,8.605,21.125,0.020
2,51,11.826,8.354,0,3.449,1.757,3.714,8.571,21.025,0.019
2,52,11.744,7.388,0,3.445,1.751,3.686,8.474,20.714,0.028
2,53,11.767,6.381,0,3.408,1.752,3.695,8.508,20.834,0.011
2,54,11.686,5.445,0,3.472,1.757,3.707,8.536,20.895,0.008
2,55,11.681,4.449,0,3.467,1.773,3.767,8.723,21.447,0.008
3,0,10.625,15.439,0,3.433,1.767,3.740,8.630,21.153,0.014
3,1,10.935,19.210,0,3.280,1.762,3.739,8.670,21.376,0.049
3,2,10.653,21.466,0,3.401,1.771,3.754,8.671,21.271,0.010
3,3,8.597,19.467,0,3.029,1.763,3.746,8.694,21.458,0.042
3,4,7.524,19.501,0,3.007,1.758,3.719,8.600,21.160,0.038
3,5,7.788,23.384,0,2.991,1.759,3.733,8.660,21.370,0.057
3,6,7.550,25.518,0,3.022,1.755,3.711,8.575,21.093,0.037
3,7,7.572,27.514,0,3.045,1.755,3.712,8.587,21.144,0.038
3,8,7.721,29.414,0,3.033,1.759,3.733,8.657,21.359,0.032
3,9,7.480,29.538,0,3.083,1.751,3.698,8.541,21.006,0.040
3,10,7.487,30.506,0,3.008,1.764,3.743,8.676,21.392,0.039
3,11,7.656,31.428,0,2.985,1.766,3.757,8.737,21.608,0.047
3,12,8.539,33.472,0,3.046,1.755,3.713,8.588,21.140,0.036
4,0,188.519,101.146,0,2.509,1.737,3.639,8.353,20.453,0.005
4,1,188.643,104.237,0,2.455,1.743,3.651,8.369,20.454,0.006
4,2,188.628,107.416,0,2.522,1.748,3.669,8.419,20.583,0.021
4,3,188.667,110.586,0,2.534,1.751,3.660,8.340,20.217,0.016
4,5,185.369,126.389,0,3.328,1.523,2.810,5.652,12.136,0.029
4,6,185.461,129.613,0,3.180,1.528,2.833,5.739,12.431,0.033
4,7,185.475,132.751,0,3.218,1.529,2.842,5.778,12.573,0.035
4,8,185.542,135.610,0,3.402,1.517,2.800,5.648,12.191,0.022
4,9,185.490,138.394,0,3.402,1.528,2.832,5.734,12.410,0.027
4,10,185.661,140.621,0,3.251,1.520,2.809,5.677,12.275,0.032
4,11,185.673,142.417,0,3.268,1.513,2.797,5.678,12.378,0.037
4,12,185.747,143.463,0,3.387,1.553,2.939,6.104,13.603,0.050
4,13,185.865,144.452,0,3.332,1.521,2.827,5.767,12.628,0.027
4,14,185.845,145.323,0,3.443,1.538,2.884,5.933,13.088,0.044
4,15,185.903,145.607,0,3.215,1.547,2.919,6.048,13.447,0.034
4,16,186.153,145.101,0,3.324,1.565,2.985,6.251,14.050,0.039
4,17,186.824,151.361,0,3.675,1.603,3.107,6.588,14.942,0.051
4,18,186.928,149.442,0,3.595,1.606,3.128,6.682,15.287,0.055
4,19,186.916,147.232,0,3.516,1.611,3.153,6.767,15.559,0.054
4,20,187.271,145.112,0,3.556,1.589,3.059,6.450,14.543,0.043
4,21,187.595,142.580,0,3.729,1.576,3.004,6.257,13.926,0.020
4,22,187.679,140.337,0,3.723,1.606,3.109,6.577,14.860,0.037
4,23,187.677,138.417,0,3.714,1.586,3.040,6.370,14.270,0.039
4,24,187.665,136.590,0,3.863,1.592,3.058,6.417,14.385,0.032
4,25,187.598,135.106,0,3.874,1.603,3.103,6.568,14.856,0.050
4,26,187.607,133.724,0,3.896,1.604,3.096,6.524,14.674,0.047
4,27,187.599,132.487,0,3.999,1.597,3.076,6.468,14.522,0.025
4,28,187.494,131.397,0,4.034,1.585,3.033,6.340,14.152,0.027
4,29,187.455,130.408,0,3.850,1.558,2.941,6.066,13.376,0.037
4,30,192.248,136.342,0,3.394,1.478,2.670,5.284,11.212,0.011
4,31,192.279,135.528,0,3.490,1.469,2.639,5.185,10.917,0.007
4,32,192.215,134.651,0,3.479,1.501,2.748,5.510,11.841,0.015
4,33,192.303,133.829,0,3.329,1.515,2.799,5.671,12.321,0.014
4,34,192.417,132.954,0,3.394,1.530,2.862,5.878,12.957,0.026
4,35,192.482,132.207,0,3.508,1.506,2.762,5.543,11.905,0.018
4,36,192.555,131.403,0,3.522,1.493,2.723,5.441,11.661,0.011
4,37,192.590,130.699,0,3.464,1.483,2.680,5.295,11.195,0.007
4,38,192.470,129.840,0,3.535,1.512,2.787,5.624,12.159,0.017
4,39,192.412,128.895,0,3.411,1.507,2.773,5.594,12.103,0.011
4,40,192.507,128.091,0,3.500,1.515,2.802,5.682,12.357,0.019
4,41,192.550,127.130,0,3.466,1.519,2.818,5.733,12.514,0.024
4,42,192.570,125.957,0,3.447,1.521,2.830,5.783,12.687,0.018
4,43,192.684,124.653,0,3.240,1.479,2.671,5.279,11.176,0.012
4,44,192.820,123.550,0,3.356,1.508,2.775,5.596,12.098,0.017
4,45,192.876,122.377,0,3.297,1.498,2.743,5.507,11.863,0.010
4,46,192.541,129.256,0,4.553,1.680,3.380,7.420,17.364,0.016
4,47,192.565,127.751,0,4.531,1.677,3.366,7.369,17.190,0.013
4,48,192.641,126.619,0,4.639,1.681,3.382,7.421,17.351,0.009
4,49,201.280,126.827,0,2.591,1.464,2.630,5.174,10.913,0.021
4,50,201.272,125.625,0,2.394,1.445,2.554,4.925,10.145,0.023
4,51,201.412,124.506,0,2.592,1.428,2.494,4.748,9.643,0.016
4,52,201.381,123.487,0,2.421,1.465,2.654,5.303,11.429,0.022
4,53,205.750,128.193,0,1.292,1.183,1.776,2.921,5.194,0.015
4,54,206.463,134.854,0,4.021,1.584,3.038,6.374,14.304,0.052
4,55,206.353,134.151,0,3.871,1.604,3.108,6.585,14.909,0.069
4,56,206.310,133.154,0,3.883,1.612,3.139,6.681,15.192,0.065
4,57,206.224,132.276,0,3.872,1.603,3.101,6.554,14.794,0.050
4,58,210.326,138.394,0,2.632,1.499,2.744,5.510,11.870,0.019
4,59,210.236,137.557,0,2.700,1.504,2.759,5.542,11.932,0.023
4,60,210.195,136.611,0,2.641,1.513,2.798,5.681,12.389,0.010
4,61,210.055,135.852,0,2.602,1.530,2.885,6.018,13.547,0.014
4,62,209.951,134.921,0,2.461,1.538,2.922,6.137,13.912,0.008
4,63,209.967,134.146,0,2.479,1.558,2.987,6.324,14.424,0.009
4,64,209.998,133.189,0,2.585,1.559,2.989,6.323,14.393,0.008
4,65,209.763,132.184,0,2.630,1.540,2.866,5.811,12.563,0.012
4,66,209.770,131.216,0,2.600,1.518,2.791,5.593,11.953,0.016
4,67,209.932,130.204,0,2.619,1.545,2.941,6.181,13.997,0.012
4,68,209.969,129.195,0,2.593,1.549,2.953,6.217,14.094,0.009
4,69,209.990,128.201,0,2.731,1.544,2.930,6.132,13.816,0.018
4,70,210.062,127.003,0,2.494,1.537,2.927,6.176,14.084,0.011
4,71,209.936,126.143,0,2.497,1.557,2.986,6.321,14.407,0.007
4,72,209.987,125.132,0,2.639,1.555,2.978,6.293,14.324,0.010
4,73,209.988,123.930,0,2.398,1.541,2.935,6.190,14.097,0.010
4,74,210.008,122.929,0,2.557,1.531,2.900,6.083,13.778,0.011
4,75,209.999,121.930,0,2.515,1.527,2.884,6.032,13.631,0.012
4,76,210.013,120.887,0,2.485,1.523,2.866,5.970,13.426,0.012
4,77,209.706,120.145,0,2.576,1.557,2.930,6.025,13.236,0.014
4,78,209.664,119.229,0,2.597,1.524,2.814,5.669,12.190,0.023
4,79,209.691,118.324,0,2.690,1.522,2.801,5.617,12.010,0.020
4,80,209.924,117.251,0,2.639,1.551,2.965,6.256,14.215,0.009
4,81,209.668,116.332,0,2.824,1.542,2.863,5.783,12.435,0.017
4,82,209.652,115.426,0,2.754,1.529,2.818,5.648,12.046,0.011
4,83,209.667,114.551,0,2.704,1.512,2.765,5.505,11.678,0.016
4,84,209.653,113.946,0,2.542,1.539,2.910,6.067,13.606,0.011
4,85,209.685,112.745,0,2.703,1.570,2.969,6.118,13.443,0.011
4,86,209.975,111.756,0,2.656,1.542,2.922,6.112,13.771,0.008
4,87,209.965,110.899,0,2.605,1.542,2.935,6.184,14.066,0.010
4,88,209.776,110.126,0,2.738,1.526,2.830,5.741,12.458,0.022
4,89,209.671,109.261,0,2.790,1.547,2.899,5.930,12.959,0.023
4,90,209.945,108.347,0,2.572,1.544,2.928,6.115,13.742,0.010
4,91,209.977,107.325,0,2.715,1.528,2.876,5.973,13.365,0.016
4,92,209.934,106.439,0,2.677,1.532,2.885,5.991,13.387,0.012
